case_type,metric_type,n_samples,EER,F1,Accuracy,presence_accuracy,presence_auc
A_impersonation,fake_detection,777,0.05827076872857839,0.9070146818923328,0.8532818532818532,,
B_institution_ars,fake_detection,432,0.06012006861063464,0.7873134328358209,0.7361111111111112,,
C_realtime_vc,fake_detection,785,0.05874899436846337,0.9064516129032258,0.8522292993630574,,
D_partial_splice,fake_detection,400,0.04545454545454548,0.7531914893617021,0.71,,
E_phone_channel,fake_detection,476,0.08873292157963691,0.9498249708284714,0.9096638655462185,,
G_full_ai_music,fake_detection,181,0.0048543689320388345,0.8342245989304813,0.8287292817679558,,
H_hybrid_composed__music,fake_detection,178,0.15766990291262137,0.7954545454545454,0.797752808988764,,
H_hybrid_composed__voice,fake_detection,295,0.05166666666666667,0.5648854961832062,0.6135593220338983,,
I_bgm_evasion,presence_robustness(voice),150,,,,0.42,0.3315997130559541
I_bgm_evasion__music_presence,presence_robustness(music),150,,,,0.9733333333333334,
